2457790.87236 17.706 0.020 5.37 559.0
2457790.88789 17.744 0.033 4.22 2761.0
2457791.86746 17.670 0.017 4.72 479.0
2457792.86373 17.750 0.023 5.65 677.0
2457793.86114 17.661 0.019 4.56 714.0
2457794.86191 17.717 0.036 7.42 911.0
2457795.87407 17.697 0.025 5.77 865.0
2457796.86780 17.686 0.021 4.87 712.0
2457797.87303 17.727 0.024 5.30 853.0
2457798.87272 17.715 0.018 4.30 581.0
2457799.86796 17.699 0.023 5.78 645.0
2457800.86247 17.700 0.020 5.17 558.0
2457801.84243 17.698 0.028 6.04 835.0
2457801.88776 17.721 0.024 5.17 779.0
2457802.88587 17.693 0.027 7.08 716.0
2457803.86919 17.778 0.023 4.79 909.0
2457807.83975 17.704 0.018 5.09 430.0
2457807.88640 17.721 0.016 4.49 420.0
2457808.88407 17.695 0.015 4.30 420.0
2457809.83882 17.675 0.019 5.68 507.0
2457809.88638 17.707 0.018 5.12 419.0
2457810.83550 17.688 0.017 4.74 476.0
2457810.88296 17.701 0.018 5.16 417.0
2457812.86781 17.696 0.016 4.25 454.0
2457813.81160 17.725 0.021 5.19 587.0
2457814.82165 17.693 0.019 5.37 471.0
2457814.86748 17.677 0.016 4.70 424.0
2457815.83353 17.660 0.018 5.05 488.0
2457815.88059 17.706 0.017 4.80 418.0
2457816.82518 17.721 0.018 5.08 461.0
2457816.87050 17.678 0.017 5.06 412.0
2457817.82173 17.702 0.018 4.69 522.0
2457817.86706 17.697 0.015 4.04 463.0
2457818.80797 17.716 0.017 4.33 451.0
2457818.85327 17.696 0.015 4.33 449.0
2457818.89839 17.715 0.016 4.28 472.0
2457819.83310 17.680 0.017 5.13 413.0
2457819.88479 17.731 0.016 4.43 380.0
2457820.84184 17.709 0.017 4.34 481.0
2457820.88752 17.694 0.016 4.40 424.0
2457821.82588 17.674 0.021 5.78 502.0
2457821.87030 17.716 0.020 5.24 485.0
2457822.80804 17.736 0.025 5.76 735.0
2457822.85268 17.732 0.020 5.15 556.0
2457822.89740 17.749 0.020 5.41 449.0
2457823.83799 17.707 0.019 4.43 660.0
2457823.88258 17.722 0.018 4.62 555.0
2457824.83394 17.720 0.023 5.25 685.0
2457824.87871 17.717 0.022 5.69 604.0
2457825.82567 17.704 0.020 5.03 686.0
2457825.87027 17.682 0.020 5.14 588.0
2457826.78409 17.722 0.024 5.56 786.0
2457826.82919 17.724 0.023 5.64 689.0
2457826.87387 17.692 0.021 5.57 627.0
2457827.80319 17.700 0.019 4.68 618.0
2457827.84758 17.709 0.018 4.82 547.0
2457827.89229 17.680 0.017 4.35 527.0
2457828.81689 17.701 0.019 4.90 609.0
2457828.86131 17.699 0.017 4.39 545.0
2457828.90619 17.698 0.017 4.16 539.0
2457829.84331 17.688 0.021 5.14 688.0
2457830.85024 17.723 0.020 4.82 700.0
2457830.89185 17.691 0.022 5.00 839.0
2457834.78845 17.709 0.023 6.59 461.0
2457834.83489 17.663 0.017 5.27 419.0
2457834.88206 17.711 0.017 5.05 391.0
2457835.75620 17.689 0.023 7.21 371.0
2457835.83366 17.677 0.024 7.49 395.0
2457835.88043 17.674 0.019 5.79 378.0
2457836.76282 17.723 0.027 7.48 440.0
2457836.81774 17.746 0.021 6.54 367.0
2457836.86679 17.734 0.019 5.97 354.0
2457836.91474 17.625 0.021 5.61 657.0
2457837.78488 17.714 0.018 5.64 356.0
2457837.83118 17.689 0.017 5.41 340.0
2457837.87803 17.722 0.016 4.47 356.0
2457838.75448 17.714 0.020 5.77 442.0
2457838.80056 17.659 0.018 5.73 409.0
2457838.85611 17.728 0.016 4.73 399.0
2457838.90393 17.689 0.015 4.21 386.0
2457839.77657 17.709 0.014 4.10 332.0
2457839.83242 17.696 0.015 4.56 326.0
2457839.88296 17.728 0.014 4.17 323.0
2457840.74302 17.718 0.020 6.03 413.0
2457840.79065 17.720 0.017 5.02 336.0
2457840.84726 17.692 0.017 5.18 353.0
2457840.89478 17.683 0.014 4.23 339.0
2457841.77215 17.709 0.022 7.07 369.0
2457841.81823 17.725 0.020 6.21 350.0
2457841.86571 17.722 0.024 7.09 378.0
2457841.91236 17.684 0.021 6.14 430.0
2457842.76544 17.685 0.020 6.27 366.0
2457842.81185 17.662 0.016 5.33 354.0
2457842.85838 17.718 0.019 5.75 382.0
2457842.90438 17.693 0.017 5.14 378.0
2457843.73479 17.702 0.018 5.35 373.0
2457843.78046 17.705 0.019 5.90 343.0
2457843.83598 17.731 0.017 5.37 317.0
2457843.88328 17.714 0.017 5.28 315.0
2457844.73092 17.728 0.019 5.76 385.0
2457844.77699 17.709 0.016 4.78 339.0
2457844.83234 17.717 0.024 7.56 357.0
2457844.87865 17.737 0.022 6.72 351.0
2457845.72297 17.734 0.026 7.22 428.0
2457845.77034 17.715 0.017 5.26 366.0
2457845.82552 17.735 0.017 5.33 346.0
2457845.87270 17.702 0.016 4.98 338.0
2457845.91918 17.671 0.018 4.75 492.0
2457846.77215 17.718 0.017 5.16 341.0
2457846.81808 17.707 0.015 4.75 334.0
2457846.86439 17.733 0.016 4.86 344.0
2457846.91201 17.724 0.018 5.24 372.0
